original_amount,txn_date,plaid_category,plaid_dirty_name
15.25,2019-08-08,"['Travel', 'Gas Stations']",MARATHON PETRO135046
10.72,2019-09-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-03-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
4,2019-06-17,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14.89,2020-05-26,"['Service', 'Shipping and Freight']",THE UPS STORE #5803 COLLEGE STATI TX 05/26
5,2019-02-19,['Service'],WIX.COM*3906096
100,2020-10-05,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/03
69.52,2020-12-30,"['Shops', 'Pets']",CHEWY.COM
13.39,2018-09-26,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
13.43,2019-02-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5.91,2021-01-08,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
27.48,2021-02-03,"['Shops', 'Clothing and Accessories']",POS DEBIT ROSS STORES #1469
5.3,2020-09-28,"['Shops', 'Discount Stores']",Dollar Tree
19.44,2020-08-18,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/18
8.3,2020-12-07,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
132,2020-06-13,['Service'],Wix.com*
2.51,2020-03-23,"['Travel', 'Gas Stations']",MARATHON PETRO1207 03-20 FORT
5,2020-10-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/14
25.08,2020-06-26,"['Travel', 'Gas Stations']",QuikTrip
5,2019-06-07,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 06/06
7.29,2020-06-26,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
10.85,2019-11-03,"['Shops', 'Beauty Products']",Sephora
2,2020-12-28,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
14.95,2020-10-23,"['Shops', 'Bookstores']",Audible
30,2020-10-05,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 10/03
20,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/22
21,2019-09-09,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
13.17,2018-12-02,"['Food and Drink', 'Restaurants']",Hover.Com
10,2019-10-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
19.79,2020-10-26,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
10.23,2020-07-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
41.4,2019-06-07,"['Service', 'Shipping and Freight']",UPS
23.92,2019-10-07,"['Shops', 'Pharmacies']",Duane Reade
55.9,2019-08-14,"['Shops', 'Pets']",CHEWY.COM
26.12,2019-10-15,"['Shops', 'Pharmacies']",Duane Reade
483.54,2019-07-03,"['Transfer', 'Debit']",ALLY CASHBACK
7.87,2019-12-06,"['Shops', 'Pharmacies']",Duane Reade
5,2020-03-05,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/04
5.1,2020-06-19,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-06-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2018-09-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
12.34,2019-07-29,"['Shops', 'Pharmacies']",Duane Reade
1.75,2019-11-20,['Food and Drink'],PepsiCo
6.05,2020-09-11,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/11
7.46,2019-10-09,"['Shops', 'Discount Stores']",Dollar Tree
49.56,2019-09-03,"['Travel', 'Gas Stations']",Sheetz
17.55,2020-07-20,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2019-11-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 11/07
27.21,2018-08-05,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
15,2019-03-04,"['Transfer', 'Debit']",TRANSFER TO GOMEZ AARON ON 03/04 REF #PP05W9GJ9W PANDA PANDA PANDA
39.98,2020-07-02,"['Travel', 'Gas Stations']",PHILLIPS 66 - JENNY'S CASTLE ROCK CO 07/02
16.09,2020-12-05,['Service'],CHICK-FIL-A #03815
7.71,2019-05-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5.74,2020-08-31,"['Shops', 'Beauty Products']",ULTA #1082 08/30 PURCHASE
10.5,2017-12-04,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
264.62,2020-07-16,"['Shops', 'Beauty Products']",Sephora
716.78,2017-09-13,"['Transfer', 'Debit']",ALLY CASHBACK
8.5,2020-02-20,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 02/19
5.41,2020-12-29,['Food and Drink'],Smoothie King
2.16,2020-11-14,"['Shops', 'Discount Stores']",Dollar Tree
1.72,2019-07-05,"['Shops', 'Convenience Stores']",MANELE GENERAL STORE
107.17,2019-12-03,"['Shops', 'Beauty Products']",ULTA # 476 SAN MARCOS TX 12/03
7.46,2020-11-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
135.36,2020-01-24,"['Service', 'Insurance']",State Farm
251.23,2017-12-14,"['Transfer', 'Debit']",ALLY CASHBACK
1.08,2019-04-29,"['Shops', 'Discount Stores']",Dollar Tree
18,2019-05-14,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
4,2020-08-28,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 08/27
19.6,2020-11-04,"['Shops', 'Beauty Products']",Sephora
4,2020-06-19,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/18
32,2017-11-13,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
3,2019-08-23,"['Travel', 'Public Transportation Services']",VENTRA VENDING 12105
5.43,2016-08-15,"['Food and Drink', 'Restaurants']",DUNKIN #307669 Q35 RIDGEWOOD NY 08/12
19.08,2020-07-08,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
20,2020-07-08,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 07/07
25,2019-01-18,"['Travel', 'Parking']",NYCDOT PARKNYC NY 01/17
2.42,2020-05-11,"['Service', 'Shipping and Freight']",UPS
18.91,2020-11-13,"['Shops', 'Discount Stores']",Dollar General
14.25,2020-07-24,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 07/24
40.84,2019-06-14,"['Shops', 'Clothing and Accessories']",T.J. Maxx
87.88,2019-10-17,"['Service', 'Insurance']",State Farm
7.46,2020-10-19,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32,2017-04-04,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
38.78,2020-03-02,"['Travel', 'Gas Stations']",MARATHON PETRO1207 02-28 FORT
200,2019-09-09,"['Transfer', 'Debit']",ALLY CASHBACK
4.37,2019-11-04,"['Shops', 'Clothing and Accessories', ""Women's Store""]",Ross Dress for Less
32.86,2020-12-27,"['Shops', 'Pets']",CHEWY INC
10,2020-07-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/08
163.3,2019-12-13,"['Transfer', 'Debit']",ALLY CASHBACK
13.77,2020-11-09,"['Shops', 'Clothing and Accessories']",T.J.Maxx
4.17,2020-09-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
21.58,2020-06-13,"['Travel', 'Gas Stations']",QuikTrip
5,2018-06-06,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2020-06-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/13
57.24,2020-10-05,"['Shops', 'Beauty Products']",Sephora
5.87,2020-03-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
4.24,2019-11-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
4,2020-07-13,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/10
17.64,2019-01-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2019-07-26,"['Travel', 'Public Transportation Services']",VENTRA VENDING 12001 CHICAGO IL 07/25
108.47,2019-08-26,"['Service', 'Insurance']",State Farm
50.43,2019-09-12,"['Shops', 'Convenience Stores']",Cumberland Farms
66.12,2020-06-24,"['Service', 'Insurance']",State Farm
8.8,2020-11-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2018-01-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
17.95,2020-05-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
2.1,2020-01-27,"['Travel', 'Gas Stations']",MARATHON PETRO1207 01-25 FORT
6,2019-09-30,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
25,2019-12-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
10,2019-12-16,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/15
17.1,2019-07-12,"['Travel', 'Gas Stations']",MARATHON PETRO12 CHICAGO IL 07/12
4,2019-06-03,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14.65,2019-09-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32.29,2020-01-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
28.71,2019-08-26,"['Shops', 'Clothing and Accessories']",T.J. MAXX 2099 1/2 N MELROSE PARK IL 08/24
26.52,2021-01-06,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
2.51,2020-05-04,"['Travel', 'Gas Stations']",MARATHON PETRO1207 05-01 FORT
14.5,2019-08-05,['Service'],Recurring Payment - WIX.COM*488659323
10,2020-07-10,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/09
22.88,2019-06-20,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
15.25,2020-05-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5.91,2019-10-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.51,2019-10-31,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
16.37,2018-07-14,"['Food and Drink', 'Restaurants']",Chick-fil-A
24,2019-10-15,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
12.06,2019-04-06,"['Food and Drink', 'Restaurants']",Chick-fil-A
3,2019-09-27,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/26
8.95,2019-03-11,"['Travel', 'Gas Stations']",Debit Purchase -visa 03/07 card 6332 Marathon Petro12versailles
6.33,2020-09-08,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/06
39.02,2020-08-04,"['Shops', 'Clothing and Accessories']",T J MAXX 3300 BROADWA EUREKA CA 08/04
21.28,2019-09-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
54.67,2021-01-25,"['Shops', 'Clothing and Accessories']",T.J.Maxx
23,2020-09-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
20,2020-08-24,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 08/23
10,2019-10-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 10/08
5,2019-09-20,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
136.44,2019-08-26,"['Service', 'Insurance']",State Farm
5,2018-03-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3.8,2017-02-24,"['Food and Drink', 'Restaurants']",DUNKIN #340441 Q35 BROOKLYN NY 02/23
7.81,2019-07-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
7.28,2019-03-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
124.02,2020-12-17,"['Service', 'Insurance']",State Farm
5,2016-08-17,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
54.57,2019-06-10,"['Shops', 'Beauty Products']",ULTA
8,2019-11-12,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/09
23.95,2020-11-25,"['Shops', 'Pharmacies']",JEWEL OSCO 3290 MELROSE PARK IL 539240 11/25
2,2021-01-28,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
5,2019-08-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
11.83,2020-02-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2020-03-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/10
1.5,2019-01-18,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/17
10,2020-12-11,"['Food and Drink', 'Restaurants']",Chick-Fil-A
84.65,2020-09-17,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
5,2019-07-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
37.77,2019-06-17,"['Travel', 'Gas Stations']",Sheetz
55.52,2019-02-23,"['Travel', 'Gas Stations']",Cumberland Farms
3.98,2020-01-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10,2020-10-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/25
10,2020-01-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 01/07
9.39,2019-06-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
62.88,2021-01-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
46.8,2019-04-30,"['Travel', 'Gas Stations']",Sheetz
19.46,2019-10-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
69.04,2019-07-10,"['Transfer', 'Debit']",ALLY CASHBACK
5,2019-05-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
80.44,2020-08-07,"['Shops', 'Beauty Products']",Sephora
71.02,2020-03-13,"['Shops', 'Beauty Products']",Sephora
4,2020-01-13,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/10
2.25,2019-08-21,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 08/20
36.39,2020-08-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
8.75,2019-11-17,"['Shops', 'Discount Stores']",Dollar Tree
27.9,2020-11-09,['Service'],WIX.COM*PRETTYNLU 11/05 PURCHASE
17.05,2019-09-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
9.28,2021-01-11,"['Shops', 'Clothing and Accessories']",ROSS STORE 2223 01-10-21 PADUCAH
10,2020-01-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/31
5.07,2020-05-15,"['Travel', 'Gas Stations']",MARATHON PETRO1207 05-14 FORT
153.44,2019-04-24,"['Service', 'Insurance']",State Farm
5,2020-07-13,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/12
32,2017-05-04,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
99.41,2018-12-04,"['Shops', 'Pets']",CHEWY.COM
18.51,2019-03-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
53.82,2020-11-02,"['Shops', 'Pets']",CHEWY INC
16.24,2019-08-05,"['Shops', 'Digital Purchase']",Audible
5,2018-04-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
12.61,2020-05-13,"['Travel', 'Gas Stations']",Debit Purchase -visa 05/12 card 6332 Marathon Petro12versailles
5.87,2020-03-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
12.31,2020-07-11,['Service'],THE UPS STORE #4329
4,2020-07-24,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/23
4.77,2016-09-14,"['Food and Drink', 'Restaurants']",DUNKIN #331707 Q35 BROOKLYN NY 09/13
14.95,2020-09-23,"['Shops', 'Bookstores']",Audible
23.65,2019-08-18,"['Shops', 'Food and Beverage Store']",SD ZOO CINNAMON TREE
10,2019-07-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 07/13
7.83,2019-11-15,"['Food and Drink', 'Restaurants']",Chick-Fil-A
11.2,2020-08-25,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/25
1.75,2019-10-21,['Food and Drink'],PepsiCo
17.3,2020-02-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3,2019-03-18,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 03/15
14.22,2019-10-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6.09,2016-10-27,"['Food and Drink', 'Restaurants']",DUNKIN #349427 Q3 NEW CANAAN CT 10/26
100,2020-10-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/08
3,2020-08-10,"['Shops', 'Discount Stores']",Dollar Tree
11.5,2018-03-08,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
10,2018-01-08,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
668.89,2019-06-28,"['Transfer', 'Debit']",ALLY CASHBACK
5,2018-04-05,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
73.86,2019-05-01,"['Shops', 'Pets']",CHEWY.COM
5.48,2020-11-06,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/06
18.72,2020-02-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
21,2020-12-15,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
90.08,2019-09-18,"['Service', 'Insurance']",State Farm
16.84,2020-06-19,"['Food and Drink', 'Restaurants']",Chick-fil-A
5,2019-08-16,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
1,2020-12-05,"['Travel', 'Gas Stations']",Sheetz
3,2019-04-03,"['Shops', 'Discount Stores']",Dollar General
13.17,2020-04-11,"['Food and Drink', 'Restaurants']",Hover.Com
13.17,2018-12-12,"['Food and Drink', 'Restaurants']",Hover.Com
3.07,2019-12-30,"['Travel', 'Gas Stations']",QuikTrip
7.07,2020-08-31,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/29
10.95,2019-07-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2019-04-29,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
5,2018-11-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
17.09,2020-04-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
85.3,2020-07-22,"['Service', 'Insurance']",State Farm
1953.84,2017-08-30,"['Transfer', 'Debit']",ALLY CASHBACK
325.4,2018-01-18,"['Transfer', 'Debit']",ALLY CASHBACK
31.99,2018-02-11,"['Shops', 'Clothing and Accessories']",T.J.Maxx
13.49,2019-12-02,"['Travel', 'Gas Stations']",Cumberland Farms
12.32,2019-06-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6.18,2018-12-31,"['Food and Drink', 'Restaurants']",DUNKIN #351945 Q35 BERNARDSTON MA 12/28
3.99,2019-08-20,"['Shops', 'Supermarkets and Groceries']",ELIZABAR'S FARM TO
26.62,2020-11-27,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
8.41,2019-05-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-02-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.69,2019-07-22,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
59.88,2019-05-25,"['Shops', 'Beauty Products']",Sephora
87.22,2019-11-20,"['Transfer', 'Debit']",ALLY CASHBACK
49.86,2019-06-09,"['Shops', 'Pets']",CHEWY.COM
1.99,2019-03-29,"['Food and Drink', 'Restaurants']",White Castle
2.17,2020-09-30,"['Travel', 'Gas Stations']",QuikTrip
6.56,2020-12-10,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 12/10
1.79,2020-05-21,"['Shops', 'Discount Stores']",Dollar General
34,2017-05-18,"['Bank Fees', 'Insufficient Funds']",Metropolitan Transportation Authority
14,2019-11-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
3,2016-11-15,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
4.87,2020-04-13,"['Travel', 'Gas Stations']",MARATHON PETRO3901 04-12 ERLANGE
86.88,2020-01-17,"['Service', 'Insurance']",State Farm
10,2019-08-27,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.78,2020-10-30,['Service'],"WIX*Wix.Com, In"
15.87,2019-03-23,"['Shops', 'Clothing and Accessories']",T.J.Maxx
20.98,2019-09-23,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
9.98,2020-09-05,"['Travel', 'Gas Stations']",QuikTrip
10,2017-03-28,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
20,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/25
4,2020-09-01,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 08/31
3.5,2019-05-06,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 05/01
